ID,MODEL_NO,DIMAID,WID,AIRLINE,AIRCRAFT_TYPE,REGISTRATION,DESCRIPTION,SIZE,PRICE,SHIPPING,TAX,COMPANY,ORDEREDFROM,DATEOFORDER,HangarClub,PictureID
2391,AC18106,,6898,KLM,B767-300ER,PH-BZC,Aeroclassics KLM Royal Dutch Airlines B 767-306ER 1:400 - AC18106 - ID#6898;  1990s  Colors. Named  Brooklyn Bridge . With  KLM / Northwest  Logo.PH-BZC,1:400,29.55,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2393.0
2392,WID10644,,10644,KLM,B747-200,PH-BUA,BigBird400 KLM Royal Dutch Airlines B 747-206B 1:400 - BB4-2005-XX - ID#10644; 1970s - Delivery  Colors. Named  The Mississippi . With  Polished  Belly.PH-BUA,1:400,38.35,0.0,0.0,BIGBIRD400,JETFAN,2011-10-19,False,2394.0
2393,GJKLM609,,11140,KLM,A330-200,PH-AOA,Gemini Jets KLM Royal Dutch Airlines A330-203 1:400 - GJKLM609 - ID#11140; 2003s  Colors. With  SkyTeam  Logo. PH-AOA,1:400,29.65,0.0,0.0,GEMINIJETS,JETFAN,2011-10-19,False,2395.0
2394,GJKLM569,,12769,KLM,B747-200,PH-BUN,Gemini Jets KLM Royal Dutch Airlines B 747-206B 1:400 - GJKLM569 - ID#12769; 1970s  Colors. Named  Anthony H.G. Fokker . With Polished Belly.PH-BUN,1:400,34.1,0.0,0.0,GEMINIJETS,JETFAN,2011-10-19,False,2396.0
2395,ACPHBUI,,16265,KLM,B747-200,PH-BUI,Aeroclassics KLM Royal Dutch Airlines B 747-206BM 1:400 - ACPHBUI - ID#16265;  1970s  Colors. Named  Wilbur Wright .PH-BUI,1:400,0.0,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2397.0
2396,ACPHBUD,,16264,KLM,B747-200,PH-BUD,Aeroclassics KLM Royal Dutch Airlines B 747-206B 1:400 - ACPHBUD - ID#16264; 1970s  Colors. Named  Nile .PH-BUD,1:400,52.8,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2398.0
2397,ACPHDNG,,17066,KLM,DC9-30,PH-DNG,Aeroclassics KLM Royal Dutch Airlines DC-9-32 1:400 - ACPHDNG - ID#17066; 1970s  Colors. Named  City of Rotterdam . With Polished Belly.PH-DNG,1:400,36.25,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2399.0
2398,ACPHDNL,,17067,KLM,DC9-30,PH-DNL,Aeroclassics KLM Royal Dutch Airlines DC-9-32 1:400 - ACPHDNL - ID#17067; 1980s - Interim  Colors. Named  City of London . PH-DNL,1:400,33.45,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2400.0
2399,ACPHDNW,,17068,KLM,DC9-30,PH-DNW,Aeroclassics KLM Royal Dutch Airlines DC-9-32 1:400 - ACPHDNW - ID#17068; 1980s  Colors. Named  City of Moscow . PH-DNW,1:400,36.35,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2401.0
2400,ACPHBFB,,16707,KLM,B747-400,PH-BFB,Aeroclassics KLM Royal Dutch Airlines B 747-406 1:400 - ACPHBFB - ID#16707; 1990s  Colors. Named  City of Bangkok . With  Skyteam  Logo. PH-BFB,1:400,41.25,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2402.0
2401,GJKLM817,,17560,KLM,B737-900,PH-BXO,Gemini Jets KLM Royal Dutch Airlines B 737-9K2 1:400 - GJKLM817 - ID#17560;  2003s  Colors. Named  Plevier . With  SkyTeam  Logo.PH-BXO,1:400,28.6,0.0,0.0,GEMINIJETS,JETFAN,2011-10-19,False,2403.0
2402,ACPHBUB,,17940,KLM,B747-200,PH-BUB,Aeroclassics KLM Royal Dutch Airlines B 747-206B 1:400 - ACPHBUB - ID#17940; 1970s - Delivery  Colors. Named  The Danube . With  Polished  Belly.PH-BUB,1:400,0.0,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2404.0
2403,GJKLM856,,19183,KLM,B777-300ER,PH-BVA,Gemini Jets KLM Royal Dutch Airlines B 777-306ER 1:400 - GJKLM856 - ID#19183; 2003s  Colors. With  SkyTeam  Logo.PH-BVA,1:400,31.15,0.0,0.0,GEMINIJETS,JETFAN,2011-10-19,False,2405.0
2404,ACPHLLB,,20425,KLM,L-188C,PH-LLB,Aeroclassics KLM Royal Dutch Airlines L-188C Electra 1:400 - ACPHLLB - ID#20425; 1959 Delivery  Colors. Named  Venus .PH-LLB,1:400,33.55,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2406.0
2405,HC-022B,,17650,KLM,B747-400,PH-BFC,Aeroclassics KLM Royal Dutch Airlines B 747-406SCD 1:400 - HC-XXX - ID#17650; 1990s - KLM Asia  Colors. Named  City of Calgary . With  KLM / Northwest  Logo. Exclusive For Club Members.PH-BFC,1:400,54.8,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,True,2407.0
2406,WID17930,,17930,AUSTRALIAN,A300-200,VH-TAA,Aeroclassics Australian Airlines A300B4-203 1:400 - NA - ID#17930; 1980s  Colors. With Numbered Card.VH-TAA,1:400,0.0,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-19,False,2214.0
2407,GJTAA813,,17739,AUSTRALIAN,B737-300,VH-TAI,Gemini Jets Australian Airlines B 737-376 1:400 - GJTAA813 - ID#17739; 1980s  Colors.VH-TAI,1:400,25.0,0.0,0.0,GEMINIJETS,JETFAN,2011-10-19,False,2409.0
2408,AC9VSTA,,18651,SINGAPORE AIRLINES,A300-200,9V-STA,Aeroclassics Singapore Airlines A300B4-203 1:400 - AC9VSTA - ID#18651; 1980s  Colors. With Rolling Gears.9V-STA,1:400,35.3,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-21,False,2410.0
2409,HC-026,,18875,SINGAPORE AIRLINES,A300-200,9V-STF,Aeroclassics Singapore Airlines A300B4-203 1:400 - HC-026 - ID#18875; 1980s  Colors. With  Singapore Celebrating 25th Anniversary  Logo. With Rolling Gears. Exclusive for Club Members.9V-STF,1:400,44.45,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-21,True,2411.0
2410,DRW55594,,5320,SINGAPORE AIRLINES,A310-300,9V-STQ,Dragon Wings Singapore Airlines A310-324 1:400 - 55594 - ID#5320; 1990s  Colors. With  Star Alliance  Logo. With Stand.9V-STQ,1:400,21.8,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2412.0
2411,GJSIA303,,4118,SINGAPORE AIRLINES,A340-300,9V-SJE,Gemini Jets Singapore Airlines A340-313X 1:400 - GJSIA303 - ID#4118; 50th Anniversary  Colors.9V-SJE,1:400,28.15,0.0,0.0,GEMINIJETS,JETFAN,2011-10-21,False,2413.0
2412,DRW55380,,3112,SINGAPORE AIRLINES,A380-800,NA,Dragon Wings Singapore Airlines A380-841 1:400 - 55380 - ID#3112; 1990s  Colors. With  Star Alliance  Logo. With Stand.NA,1:400,36.55,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2414.0
2413,AC18144,,4937,SINGAPORE AIRLINES,B707-300,9V-BBB,Aeroclassics Singapore Airlines B 707-312B 1:400 - AC18144 - ID#4937; 1980s  Colors.9V-BBB,1:400,33.65,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-21,False,2415.0
2414,ACSIA011,,8417,SINGAPORE AIRLINES,B727-200,9V-SGI,Aeroclassics Singapore Airlines B 727-212A 1:400 - ACSIA011 - ID#8417; 1980s  Colors. 9V-SGI,1:400,35.3,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-21,False,2416.0
2415,SMA031202,,5602,SINGAPORE AIRLINES,B737-100,9V-BBC,Seattle Model Aircraft Company Singapore Airlines B 737-112 1:400 - SMA031202 - ID#5602; 1970s  Colors.9V-BBC,1:400,35.15,0.0,0.0,SMA,JETFAN,2011-10-21,False,2417.0
2416,DRW55701B,,6960,SINGAPORE AIRLINES,B747-200,9V-SIA,Dragon Wings Singapore Airlines B 747-212B 1:400 - 55701B - ID#6960; 1980s  Colors. With  California Here We Come  Titles. With Stand.9V-SIA,1:400,33.25,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2418.0
2417,WID8718,,8718,SINGAPORE AIRLINES,B747-200,9V-SQP,Aeroclassics Singapore Airlines B 747-212B 1:400 - NA - ID#8718; 1980s  Colors.9V-SQP,1:400,32.25,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-21,False,2419.0
2418,DRW55633,,6376,SINGAPORE AIRLINES,A340-500,9V-SGB,Dragon Wings Singapore Airlines A340-541 1:400 - 55633  - ID#6376 ; 1990s  Colors. With  Leadership  Titles. With Stand.9V-SGB,1:400,28.65,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2420.0
2419,DRW55809,,9852,SINGAPORE AIRLINES,B707-300,9V-BEY,Dragon Wings Singapore Airlines B 707-324C 1:400 - 55809  - ID#9852 ; 1980s  Colors. With Stand.9V-BEY,1:400,25.85,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,1050.0
2420,DRW55701,,6613,SINGAPORE AIRLINES,B747-200,9V-SQJ,Dragon Wings Singapore Airlines B 747-212B 1:400 - 55701 - ID#6613; 1980s  Colors. With Stand.9V-SQJ,1:400,26.1,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2422.0
2421,AC9VSQF,,8717,SINGAPORE AIRLINES,B747-200,9V-SQF,Aeroclassics Singapore Airlines B 747-212B 1:400 - AC9VSQF - ID#8717; 1980s  Colors. With  California Here We Come  Titles.9V-SQF,1:400,22.94,0.0,0.0,AEROCLASSICS,JETFAN,2011-10-21,False,2016.0
2422,DRW55123,,3107,SINGAPORE AIRLINES,B747-300,N123KJ,Dragon Wings Singapore Airlines B 747-312 1:400 - 55123 - ID#3107; 1980s  Colors. Named  Big Top . With Stand.N123KJ,1:400,28.65,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2424.0
2423,DRW55226,,3495,SINGAPORE AIRLINES,B747-400,9V-SFD,Dragon Wings Singapore Airlines Cargo B 747-412FSCD 1:400 - 55226 - ID#3495; 1990s  Colors. Named  MegaArk . With Stand.9V-SFD,1:400,25.2,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2425.0
2424,DRW55452,,3549,SINGAPORE AIRLINES,B747-400,9V-SMT,Dragon Wings Singapore Airlines B 747-412 1:400 - 55452 - ID#3549; 1990s  Colors. Named  Megatop . With  Star Alliance  Logo. With Stand.9V-SMT,1:400,26.45,0.0,0.0,DRAGON WINGS,JETFAN,2011-10-21,False,2426.0
2428,JC4SIA105,,21840,SINGAPORE AIRLINES,A380-800,9V-SKT,JC Wings Singapore Airlines A380-841 1:400 - JC4SIA105 - ID#21840; Star Alliance  Colors. 9V-SKT,1:400,0.0,0.0,0.0,JC WINGS,EBAY:DEMOGRAPHER_X,2011-10-14,False,2430.0
2429,ACZSSDG,,18448,SOUTH AFRICAN,A300-200,ZS-SDG,Aeroclassics South African Airways A300C4-203F 1:400 - ACZSSDG - ID#18448; 1990s  Colors. With Rolling Gears.ZS-SDG,1:400,33.0,0.0,0.0,AEROCLASSICS,AIRPLANEREPLICAS,2011-10-19,False,2431.0
2430,SKR464,,21257,British Airways,A380-800,G-BBIG,Risesoon / Skymarks British Airways A380-841 1:200 - SKR464 - ID#21257; United Kingdom - Union Jack  Colors. With Stand. With Rolling Gears.G-BBIG,1:200,25.0,3.0,0.0,SKYMARKS,RUSSELL EPSTEIN,2013-08-26,False,2432.0
2431,PH4ANA963,,36027,ANA,B747-400,JA8964,Phoenix Models ANA All Nippon Airways B 747-481D 1:400 - PH4ANA963 - ID#36027; Pokemon 1999  Colors. With  Star Alliance  LogoJA8964,1:400,33.95,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2013-09-06,False,2433.0
2432,ACVHRMD,,31813,Ansett Australia,B727,VH-RMD,Aeroclassics Ansett Australia B 727-77 1:400 - ACVHRMD - ID#31813;:  1970s - Red & Black  Colors.  Aussie Classics  Series.VH-RMD,1:400,31.99,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2434.0
2434,BBB2389,,31816,Garuda Indonesia,A340-300,B-2389,Aeroclassics Garuda Indonesia A340-313X 1:400 - BBB2389 - ID#31816; China Southern Airlines - Hybrid  Colors.  Big Bus Model  Line. B-2389,1:400,33.99,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2436.0
2435,ACYUAGG,,31819,JAT,B707-300,YU-AGG,Aeroclassics JAT Yugoslav Airlines B 707-340C 1:400 - ACYUAGG - ID#31819; 1970s  Colors. With Polished Belly.YU-AGG,1:400,35.0,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2437.0
2436,ACYUAGJ,,31820,JAT,B707-300,YU-AGJ,Aeroclassics JAT Yugoslav Airlines B 707-351C 1:400 - ACYUAGJ - ID#31820; 1970s  Colors. With Grey Belly.YU-AGJ,1:400,35.0,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2438.0
2437,PH4CPA289,,18706,Cathay Pacific,B777-300ER,B-KPF,Phoenix Models Cathay Pacific B 777-367ER 1:400 - PH4CPA289 - ID#18706; Asia World City  Colors. With Rolling Gears.B-KPF,1:400,75.0,6.0,0.0,PHOENIX MODELS,ALVIN LUI,2011-11-03,False,2439.0
2440,ACF-WWKD,,35105,MALAYSIAN/AIR INTER,A330-300,F-WWKD,Aeroclassics Malaysian/Air Inter A330-300 1:400 - ACF-WWKD ID#35105;hybrid colors; F-WWKD,1:400,32.59,0.0,0.0,AEROCLASSICS,EZTOYS,2013-01-23,False,2442.0
2442,HE562119,,27562,ETIHAD AIRWAYS,A340-600,A6-EHJ,Herpa Etihad Airways A340-642X 1:400 - 562119 - ID#27562;Second Version.  2009 Abu Dhabi - Formula 1 Grand Prix  Colors.A6-EHJ,1:400,42.5,6.0,0.0,HERPA,ALVIN LUI,2011-11-03,False,2444.0
2446,GJTWA438,,7082,TWA,B727-200,N54351,Gemini Jets Trans World Airlines B 727-231 1:400 - GJTWA438 - ID#7082; 1995s  Colors. N54351,1:400,23.1,0.0,0.0,GEMINIJETS,JETFAN,2013-11-14,False,2448.0
2447,BBSXDFB,,31825,OLYMPIC,A340-300,SX-DFB,Aeroclassics Olympic A340-313X 1:400 - BBSXDFB - ID#31825; 1990s  Colors. Named  Delphi .  Big Bus Model  Line.SX-DFB,1:400,34.0,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2449.0
2448,BBSXDFA,,31824,OLYMPIC,A340-300,SX-DFA,Aeroclassics Olympic A340-313X 1:400 - BBSXDFA - ID#31824;  1990s  Colors. Named  Olympia .  Big Bus Model  Line.SX-DFA,1:400,34.0,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2450.0
2449,ACHBIOE,,31826,SWISSAIR,A321-100,HB-IOE,Aeroclassics Swissair A321-111 1:400 - ACHBIOE - ID#31826; Qualiflyer  Colors. HB-IOE,1:400,32.0,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2451.0
2450,ACPHAOL,,31821,KLM,A330-200,PH-AOL,Aeroclassics KLM Royal Dutch Airlines A330-203 1:400 - ACPHAOL - ID#31821; 2003s  Colors. With  SkyTeam  Logo. Named:  Piccadilly Circus London .  Big Bus Model  Line.PH-AOL,1:400,34.0,0.0,0.0,AEROCLASSICS,EZTOYS,2011-11-04,False,2452.0
2453,BBB2390,,31817,Garuda Indonesia,A340-300,B-2390,Aeroclassics Garuda Indonesia A340-313X 1:400 - BBB2390 - ID#31817; China Southern Airlines - Hybrid  Colors.  Big Bus Model  Line. B-2390,1:400,34.0,0.0,0.0,AEROCLASSICS,JUSTPLANEFUN,2011-11-16,False,2455.0
2454,GJSIA301,,4119,SINGAPORE AIRLINES,B747-400,9V-SMU,Gemini Jets Singapore Airlines B 747-412 1:400 - GJSIA301 - ID#4119; 1990s  Colors. Named  Megatop . With  1000th Boeing 747  Titles. 9V-SMU,1:400,31.65,0.0,0.0,GEMINIJETS,JETFAN,2011-11-02,False,2456.0
2455,WID4266,,4266,SINGAPORE AIRLINES,B747-400,9V-SMZ,Netmodels Singapore Airlines B 747-412 1:400 - NA - ID#4266;50th Anniversary  Colors.9V-SMZ,1:400,28.55,0.0,0.0,NETMODELS,JETFAN,2011-11-02,False,2457.0
2456,WTW4744002,,34352,AIR PACIFIC,B747-400,DQ-FJL,Witty Wings Air Pacific B 747-412 1:400 - WTW4744002 - ID#34352;  1990s  Colors.DQ-FJL,1:400,39.0,4.0,0.0,WITTY WINGS,JETWAYMODELS,2013-06-01,False,2458.0
2457,DRW55175B,,3536,SINGAPORE AIRLINES,DC10-30,9V-SDC,Dragon Wings Singapore Airlines DC-10-30 1:400 - 55175B - ID#3536; 1980s  Colors. With Stand.9V-SDC,1:400,30.55,0.0,0.0,DRAGON WINGS,JETFAN,2011-11-02,False,2459.0
2458,AC9VSDA,,19161,SINGAPORE AIRLINES,DC10-30,9V-SDA,Aeroclassics Singapore Airlines DC-10-30 1:400 - AC9VSDA - ID#19161; 1980s  Colors. With Rolling Gears.9V-SDA,1:400,35.6,0.0,0.0,AEROCLASSICS,JETFAN,2011-11-02,False,2460.0
2459,DRW55175,,3541,SINGAPORE AIRLINES,DC10-30,9V-SDB,Dragon Wings Singapore Airlines DC-10-30 1:400 - 55175 - ID#3541; 1980s  Colors. With  1979 California Here We Come  Titles. With Stand.9V-SDB,1:400,27.3,0.0,0.0,DRAGON WINGS,JETFAN,2011-11-02,False,1639.0
2460,ACIDEMA,,14915,ALITALIA,B747-100,I-DEMA,Aeroclassics Alitalia B 747-143 1:400 - ACIDEMA - ID#14915; 1980s  Colors. Named  Neil Armstrong .I-DEMA,1:400,48.25,0.0,0.0,AEROCLASSICS,JETFAN,2011-11-02,False,2462.0
2461,WID3997,,3997,DELTA EXPRESS,B737-200,N310DA,BigBird400 Delta Express B 737-232A 1:400 - BB4-2002-XX - ID#3997; Power Puff Girls  Colors.N310DA,1:400,26.2,0.0,0.0,BIGBIRD400,JETFAN,2011-11-02,False,2463.0
2462,PH4KAL292,,18697,KOREAN AIR,B747-400,HL7402,Phoenix Models Korean Air B 747-4B5 1:400 - PH4KAL292 / PH10224 - ID#18697; 1990s  Colors. With  SkyTeam  Logo. With  Passionate wings to Art - Mona Lisa  Logo.HL7402,1:400,47.8,0.0,0.0,PHOENIX MODELS,JETFAN,2011-11-02,False,2464.0
2463,AC9MMHJ,,8719,MAS,B747-200,9M-MHJ,Aeroclassics Malaysian Airline System B 747-236BSF 1:400 - AC9MMHJ - ID#8719; 1970s  Colors.9M-MHJ,1:400,34.9,0.0,0.0,AEROCLASSICS,JETFAN,2011-11-02,False,2465.0
2464,PH4ANA963,,36027,ANA,B747-400,JA8964,Phoenix Models ANA All Nippon Airways B 747-481D 1:400 - PH4ANA963 - ID#36027; Pokemon 1999  Colors. With  Star Alliance  LogoJA8964,1:400,33.95,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2013-09-06,False,2466.0
2465,DRW55590,,6870,PANAM,CONCORDE,NA,Dragon Wings Pan American World Airways Concorde 1:400 - 55590 - ID#6870;Fantasy Model. With Stand.NA,1:400,21.8,0.0,0.0,DRAGON WINGS,JETFAN,2011-11-02,False,2467.0
2466,GJAFR205C,,4057,Air France,CONCORDE,F-BVFF,Gemini Jets Air France Concorde 1:400 - GJAFR205C - ID#4057; 1990s  Colors.F-BVFF,1:400,23.35,0.0,0.0,GEMINIJETS,JETFAN,2011-11-02,False,2468.0
2467,SOCAFR002,,11157,Air France,CONCORDE,F-BTSC,Gemini Jets Air France Concorde 1:400 - SOCAFR002 - ID#11157;  1970s  Colors. Exclusive for SOCATEC France.F-BTSC,1:400,24.3,0.0,0.0,GEMINIJETS,JETFAN,2011-11-02,False,2469.0
2469,ACVRHGP,,3801,CATHAY PACIFIC,B707-300,VR-HGP,Aeroclassics Cathay Pacific B 707-351C 1:400 - ACVRHGP - ID#3801; 1980s  Colors.VR-HGP,1:400,34.3,0.0,0.0,AEROCLASSICS,JETFAN,2011-11-02,False,2471.0
2470,WID5634,,5634,CATHAY PACIFIC,CV880,VR-HFS,Aeroclassics Cathay Pacific CV-880M-22-3 1:400 - NA - ID#5634; 1960s  Colors.VR-HFS,1:400,38.0,0.0,0.0,AEROCLASSICS,JETFAN,2011-11-02,False,2472.0
2471,WID9792,,9792,Air France,B747-100,F-BPVL,BigBird400 Air France B 747-128 1:400 - BB4-2005-XX - ID#9792; 1990s  Colors. With  Jumbo  Titles.F-BPVL,1:400,32.0,0.0,0.0,BIGBIRD400,JETFAN,2011-11-02,False,2473.0
2472,PH4TAP167,,13122,TAP AIR PORTUGAL,A330-300,CS-TOF,Phoenix Models TAP Air Portugal A330-223 1:400 - PH4TAP167 - ID#13122; 2005s  Colors. With  Star Alliance  Logo.CS-TOF,1:400,23.0,0.0,0.0,PHOENIX MODELS,AIRLINEHOBBY,2011-11-15,False,2474.0
2473,BBOXCATH889,,35462,Cathay Pacific,B747-400,B-HOW,Blue Box Cathay Pacific B 747-467 1:200 - BBOXCATH889 - ID#35462' 2000s  colors. Asia's World City logo; new first class windows.B-HOW,1:200,127.95,0.0,0.0,BLUE BOX,WAFFLECOLLECTIBLES,2013-03-22,False,2475.0
2474,BBOXCATH888,,35550,Cathay Pacific,B747-400,VR-HOT,Blue Box Cathay Pacific B 747-467 1:200 - BBOXCATH888 - ID#35550; 1990s  Colors. Hong Kong-British Registration.VR-HOT,1:200,127.95,0.0,0.0,BLUE BOX,WAFFLECOLLECTIBLES,2013-03-22,False,2476.0
2475,HE562133,,21230,SOUTH AFRICAN,B747SP,ZS-SPB,Herpa South African Airways B 747SP-44 1:400 - 562133 - ID#21230;  1970s - Delivery  Colors. With Polished Belly.ZS-SPB,1:400,41.0,0.0,0.0,HERPA,JUSTPLANEFUN,2011-10-27,False,2477.0
2476,PH4AVA484,,22829,FANTASY,A340-600,NA,Phoenix Models Fantasy Avatar A340-642 1:400 - PH4AVA484 - ID#22829;  Avatar - The Movie - Fantasy  Colors. With Stand.NA,1:400,40.0,0.0,0.0,PHOENIX MODELS,JUSTPLANEFUN,2011-10-30,False,2478.0
2478,PH4TAP203,,13676,TAP AIR PORTUGAL,A320-200,CS-TNP,Phoenix Models TAP Air Portugal A320-214 1:400 - PH4TAP203 - ID#13676; Star Alliance  Colors. Named  Alexandre O'Neill . With  Star Alliance  Logo.CS-TNP,1:400,24.0,0.0,0.0,PHOENIX MODELS,AIRLINEHOBBY,2011-11-15,False,2480.0
2479,GJSCH256,,2181,FANTASY,CONCORDE,NA,Gemini Jets Fantasy Schuco Concorde 1:400 - GJSCH256 - ID#2181;Gemini Jets Fantasy Schuco Concorde 1:400 - GJSCH256 - ID#2181; NA,1:400,32.0,0.0,0.0,GEMINIJETS,AIRLINEHOBBY,2011-11-15,False,2481.0
2481,WID23578,,23578,SWISSAIR,A340-300,HB-JMJ,Phoenix Models Swiss International Air Lines A340-313E 1:400 - PH4SWRXXX - ID#2357; San Francisco  Colors. With Rolling Gears.HB-JMJ,1:400,100.0,0.0,0.0,PHOENIX MODELS,HULDAM HISPEED,2011-11-04,False,2483.0
2482,WID23578,,23578,SWISSAIR,A340-300,HB-JMJ,Phoenix Models Swiss International Air Lines A340-313E 1:400 - PH4SWRXXX - ID#2357; San Francisco  Colors. With Rolling Gears.HB-JMJ,1:400,100.0,0.0,0.0,PHOENIX MODELS,HULDAM HISPEED,2011-11-04,False,2484.0
2483,WID3737,,3737,AIR NEW ZEALAND,B767-300ER,ZK-NCG,TucanoLine Air New Zealand B 767-319ER 1:400 - NA - ID#3737;TucanoLine Air New Zealand B 767-319ER 1:400 - NA - ID#3737; ZK-NCG,1:400,50.0,0.0,0.0,TUCANOLINE,HULDAM HISPEED,2011-11-04,False,2485.0
2486,PH4ANA202,,13790,Air Nippon,B737-700,JA03AN,Phoenix Models ANK Air Nippon B 737-781WL 1:400 - PH4ANA202 - ID#13790; 1990s  Colors. With  2003s - ANA  Titles. With  Star Alliance  Logo.JA03AN,1:400,22.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-10-25,False,2488.0
2487,PH4ANA240,,15860,ANA,B737-700,JA10AN,Phoenix Models ANA All Nippon Airways B 737-781 1:400 - PH4ANA240 - ID#15860;  ANA - Business Jet  Colors. With  Star Alliance  Logo. JA10AN,1:400,26.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-10-25,False,2489.0
2489,RM2757006,,28030,BRITISH AIRWAYS,B757-200,G-CPEM,Russel Models British Airways B 757-236 1:200 - RM2757006 - ID#28030;Blue Peter  Colors.G-CPEM,1:200,34.0,0.0,0.0,AVIATION200,WAFFLECOLLECTIBLES,2011-05-17,False,2491.0
2492,WID20766,,20766,AIR FRANCE,CONCORDE,F-BTSD,Phoenix Models Air France Concorde 102 1:400 - NA - ID#20766; Pepsi  Colors.  F-BTSD,1:400,44.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-11-02,False,2492.0
2493,WID20762,,20762,V AUSTRALIA,B777-300ER,VH-VOZ,Phoenix Models V Australia B 777-3ZGER 1:400 - PH4VOZXXX;2009s  Colors. With Rolling Gears.VH-VOZ,1:400,60.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-11-02,False,2493.0
2496,JC2SIA813,,31688,SINGAPORE AIRLINES,B777-300ER,9V-SWR,JC Wings Singapore Airlines B 777-312ER 1:200 - JC2SIA813 - ID#31688;  2007s  Colors. With  Star Alliance  Logo. With Rolling Gears.  2007s  Colors. With  Star Alliance  Logo. With Rolling Gears.9V-SWR,1:200,92.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2011-11-19,False,2496.0
2497,AV2320001,,22166,VIRGIN ATLANTIC,A320-200,G-OUZO,Aviation200 Virgin Atlantic Airways A320-231 1:200 - AV2320001 - ID#22166; 1990s  Colors. With Rolling Gears.G-OUZO,1:200,27.0,0.0,0.0,AVIATION200,WAFFLECOLLECTIBLES,2011-11-19,False,2497.0
2498,RAMJAL117,,24541,JAL,A300-600,JA016D,JC Wings JAL Japan Airlines A300B4-622R 1:200 - RAMJAL117 - ID#24541; 2003s  Colors. With  JAS  Sticker. With  Unicef  Logo. With spinning Jet fans and rolling rubber tires.JA016D,1:200,47.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2011-11-19,False,2498.0
2499,JC2KAL001,,27838,KOREAN AIR,B777-200ER,HL7530,JC Wings Korean Air B 777-2B5ER 1:200 - JC2KAL001 - ID#27838;  1990s  Colors. With large  Korean Air  titles. With rolling Gear.  Flightline 200  release.HL7530,1:200,45.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2011-11-19,False,2499.0
2500,WID22834,,22834,CATHAY PACIFIC,B777-200,B-HNL,JC Wings Cathay Pacific B 777-267 1:200 - NA - ID#22834;  1997s  Colors. With  Asia's World City  Logo. With Rolling Gears.B-HNL,1:200,95.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2011-11-19,False,2500.0
2501,G2VOZ066,,20469,VIRGIN BLUE,B737-800,VH-VUI,Gemini Jets Virgin Blue Airlines B 737-8FEWL 1:200 - G2VOZ066 - ID#20469;Gemini Jets Virgin Blue Airlines B 737-8FEWL 1:200 - G2VOZ066 - ID#20469 VH-VUI,1:200,47.0,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2011-11-19,False,2501.0
